Movie Hebrew name,Movie name,Extra name,Year,Movie type,Grade,Lead actor\ess,Language
"כן, גברת הנשיא",Guarding Tess,,1994,Drama,Very good,Nicolas Cage,English
משהו ללבוש,Prêt-à-Porter,,1994,Drama,OK,Julia Roberts,English
רוחות של תשוקה,Legends of the Fall,,1994,Drama,OK,Brad Pitt,English
,Una pura formalità,,1994,Drama,Less,Gérard Depardieu,Spanish
שחור,שחור,,1994,Israeli,OK,Amos Lavi,English
איש הנצח 3: המכשף,Highlander III: The Sorcerer,,1994,SF,Less,Christopher Lambert,English
מסע בין כוכבים: דורות,Star Trek: Generations,Star Trek 7 Generations,1994,SF,Good,Patrick Stewart,English
סטארגייט,Stargate,,1994,SF,Good,James Spader,English
,Test Tube Teens from the Year 2000,Virgin Hunters,1994,SF,Bad,,English
פריסילה מלכת המדבר,"The Adventures of Priscilla, Queen of the Desert",,1994,Musical,Very good,,English
סכנה ברורה ומיידית,Clear and Present Danger,,1994,Thriller,Good,Harrison Ford,English
חשיפה,Disclosure,,1994,Thriller,Good,Michael Douglas,English
אקדח יום הדין,Doomsday Gun,,1994,Thriller,OK,Kevin Spacey,English
להרוג את זואי,Killing Zoe,,1994,Thriller,Less,,English
הפטריוטים,Les Patriotes,,1994,Thriller,OK,Moshe Ivgy,Mixed
חברים לרצח,Shallow Grave,,1994,Thriller,Bad,Ewan McGregor,English
הלקוח,The Client,,1994,Thriller,Very good,Tommy Lee Jones,English
נהר הפרא,The River Wild,,1994,Thriller,Good,Meryl Streep,English
,Maverick,,1994,Western,OK,Mel Gibson,English
וויאט ארפ,Wyatt Earp,,1994,Western,OK,Kevin Costner,English
מלך האריות,The Lion King,,1994,Animated,Very good,,English
סוד הממלכה הקסומה,The Swan Princess,,1994,Animated,Pass,,English
חופשה בחיתולים,Baby's Day Out,,1994,Family,Good,Lara Flynn Boyle,English
הורים בהזמנה,North,,1994,Family,OK,Bruce Willis,English
ריצ'י ריץ',Richie Rich,,1994,Family,OK,Macaulay Culkin,English
השוטר מבוורלי הילס 3,Beverly Hills Cop III,,1994,Action,OK,Eddie Murphy,English
דארקמן 2,Darkman II: The Return of Durant,,1994,Action,Pass,,English
משאלת מוות 5,Death Wish V: The Face of Death,,1994,Action,Less,Charles Bronson,English
לאון,Léon,The Professional,1994,Action,Great,Natalie Portman,English
רוצחים מלידה,Natural Born Killers,,1994,Action,OK,Woody Harrelson,English
ספרות זולה,Pulp Fiction,,1994,Action,Very good,Bruce Willis,English
ספיד,Speed,,1994,Action,Good,Keanu Reeves,English
,The Next Karate Kid,Karate Kid IV,1994,Action,OK,Hilary Swank,English
הצל,The Shadow,,1994,Action,OK,Alec Baldwin,English
המומחה,The Specialist,,1994,Action,Good,Sharon Stone,English
אייס ונטורה: בלש בצחוק,Ace Ventura: Pet Detective,,1994,Comedy,Good,Jim Carrey,English
רוקנרול באוויר,Airheads,,1994,Comedy,OK,Brendan Fraser,English
בלנק מן - גיבור בתחתונים,Blankman,,1994,Comedy,Less,Damon Wayans,English
תעצרו את העיר פעם שנייה,City Slickers II: The Legend of Curly's Gold,,1994,Comedy,OK,Billy Crystal,English
מוכרים בלבד,Clerks,,1994,Comedy,OK,Kevin Smith,English
טיפשים בלי הפסקה,Dumb & Dumber,,1994,Comedy,OK,Jim Carrey,English
,Hail Caesar,,1994,Comedy,Less,Robert Downey Jr.,English
האקדח מת מצחוק 33 1/3: העלבון האחרון,Naked Gun 33 1/3: The Final Insult,,1994,Comedy,OK,Leslie Nielsen,English
הקפיצה הגדולה,The Hudsucker Proxy,,1994,Comedy,Good,Tim Robbins,English
ארבע חתונות ולוויה אחת,Four Weddings and a Funeral,,1994,Comedy,Less,Hugh Grant,English
רק אותך,Only You,,1994,Comedy,Less,Marisa Tomei,English
,Reality Bites,,1994,Comedy,Less,Winona Ryder,English
בית ספר לשוטרים מתחילים 7,Police Academy: Mission to Moscow,,1994,Comedy,Less,,English
אמא סדרתית,Serial Mom,,1994,Comedy,OK,Kathleen Turner,English
,Test Tube Teens from the Year 2000,Virgin Hunters,1994,Comedy,Bad,,English
שומרות תאומות,Twin Sitters,,1994,Comedy,Less,,English
אפולו 13,Apollo 13,,1995,Drama,Very good,Tom Hanks,English
לפני הזריחה,Before Sunrise,,1995,Drama,OK,Ethan Hawke,English
קזינו,Casino,,1995,Drama,OK,Robert De Niro,English
סיכון מחושב,Dangerous Minds,,1995,Drama,Good,Michelle Pfeiffer,English
גבר מת מהלך,Dead Man Walking,,1995,Drama,Good,Susan Sarandon,English
על תבונה ורגישות,Sense and Sensibility,,1995,Drama,Less,Emma Thompson,English
נערות שעשועים,Showgirls,,1995,Drama,OK,Elizabeth Berkley,English
עישון,Smoke,,1995,Drama,OK,Harvey Keitel,English
יומן נעורים,The Basketball Diaries,,1995,Drama,OK,Leonardo DiCaprio,English
הגשרים של מחוז מדיסון,The Bridges of Madison County,,1995,Drama,Good,Clint Eastwood,English
סידורים אחרונים בדנוור,Things to Do in Denver When You're Dead,,1995,Drama,OK,Andy Garcia,English
לילסדה,לילסדה,,1995,Drama,Good,Alon Abutbul,Hebrew
דון חואן דה מרקו,Don Juan DeMarco,,1995,Drama,OK,Johnny Depp,English
,Sabrina,,1995,Drama,OK,Harrison Ford,English
דור מזוין,The Doom Generation,,1995,Drama,Bad,,English
פיתוי קטלני,To Die For,,1995,Drama,Less,Nicole Kidman,English
פרחים ועשבים שוטים,Cold Comfort Farm,,1995,Drama,Less,Kate Beckinsale,English
דלתא ונוס,Delta of Venus,,1995,Drama,Pass,,English
מחתרתי,Underground ,,1995,Drama,OK,,Italian
קונגו,Congo,,1995,Adventure,Good,Tim Curry,English
ראשון האבירים,First Knight,,1995,Adventure,Good,Sean Connery,English
ג'ומנג'י,Jumanji,,1995,Adventure,OK,Robin Williams,English
חולה אהבה בשיכון ג',חולה אהבה בשיכון ג',,1995,Israeli,OK,Moshe Ivgy,Hebrew
באטמן לנצח,Batman Forever,,1995,SF,OK,Nicole Kidman,English
ג'וני נמוניק,Johnny Mnemonic,,1995,SF,Good,Keanu Reeves,English
מין מסוכן,Species,,1995,SF,Good,Natasha Henstridge,English
12 קופים,Twelve Monkeys,,1995,SF,Very good,Bruce Willis,English
עולם המים,Waterworld,,1995,SF,Good,Kevin Costner,English
,Les Misérables in Concert,,1995,Musical,Less,,English
יחסים מושחתים,Bad Company,,1995,Thriller,Less,Laurence Fishburne,English
קופיקאט,Copycat,,1995,Thriller,Good,Sigourney Weaver,English
כוננות מיידית,Crimson Tide,,1995,Thriller,Good,Denzel Washington,English
היט,Heat,,1995,Thriller,Very good,Al Pacino,English
נשיקת מוות,Kiss of Death,,1995,Thriller,OK,Nicolas Cage,English
התפרצות,Outbreak,,1995,Thriller,Good,Dustin Hoffman,English
הרשת,The Net,,1995,Thriller,OK,Sandra Bullock,English
החשוד המיידי,The Usual Suspects,,1995,Thriller,Very good,Kevin Spacey,English
שבעה חטאים,Se7en,,1995,Thriller,Good,Brad Pitt,English
לב אמיץ,Braveheart,,1995,War,Good,Mel Gibson,English
המהירים והמתים,The Quick and the Dead,,1995,Western,OK,Gene Hackman,English
הרוח שבמעטפת,Kôkaku Kidôtai,Ghost in the Shell,1995,Animated,Pass,,Asian
פוקהונטס,Pocahontas,,1995,Animated,Good,,English
צעצוע של סיפור,Toy Story,,1995,Animated,Very good,,English
נסיכה קטנה,A Little Princess,,1995,Family,Bad,,English
קספר,Casper,,1995,Family,Good,Christina Ricci,English
מתנקשים,Assassins,,1995,Action,OK,Sylvester Stallone,English
בחורים רעים,Bad Boys,,1995,Action,Good,Will Smith,English
דספרדו,Desperado,,1995,Action,OK,Antonio Banderas,English
מת לחיות 3,Die Hard: With a Vengeance,Die Hard 3,1995,Action,Good,Bruce Willis,English
007 - גולדן איי,GoldenEye,,1995,Action,Good,Pierce Brosnan,English
מרדף ממוחשב,Hackers,,1995,Action,Less,Angelina Jolie,English
השופט,Judge Dredd,,1995,Action,OK,Sylvester Stallone,English
מורטל קומבט,Mortal Kombat,,1995,Action,OK,Bridgette Wilson,English
מצור ימי 2,Under Siege 2: Dark Territory,,1995,Action,OK,Steven Seagal,English
אייס ונטורה: בלש פראי,Ace Ventura: When Nature Calls,,1995,Comedy,OK,Jim Carrey,English
בילי מדיסון,Billy Madison,,1995,Comedy,Less,Adam Sandler,English
דרקולה מת ואוהב את זה,Dracula: Dead and Loving It,,1995,Comedy,OK,Mel Brooks,English
ארבעה חדרים,Four Rooms,,1995,Comedy,OK,Tim Roth,English
תפוס את שורטי,Get Shorty,,1995,Comedy,OK,Danny DeVito,English
המופרע,Il Mostro,,1995,Comedy,Less,Roberto Benigni,Italian
עכברי הקניון,Mallrats,,1995,Comedy,Good,Shannen Doherty,English
המרוץ לצמרת של מקס פישר,Rushmore,,1995,Comedy,Less,Bill Murray,English
קדילק של סופשבוע,"To Wong Foo, Thanks for Everything, Julie Newmar",,1995,Comedy,Good,Patrick Swayze,English
טומי בוי,Tommy Boy,,1995,Comedy,OK,David Spade,English
מחתרתי,Underground,,1995,Comedy,OK,,Norw-Fin-Swed
אבי הכלה 2,Father of the Bride Part II,,1995,Comedy,OK,Steve Martin,English
,Forget Paris,,1995,Comedy,Very good,Billy Crystal,English
אפרודיטה הגדולה,Mighty Aphrodite,,1995,Comedy,OK,Woody Allen,English
תשעה חודשים,Nine Months,,1995,Comedy,OK,Hugh Grant,English
האיש שעלה על גבעה וירד הר,The Englishman Who Went Up a Hill But Came Down a Mountain,,1995,Comedy,Less,Hugh Grant,English
בזמן שישנת,While You Were Sleeping,,1995,Comedy,Good,Sandra Bullock,English
קלולס,Clueless,,1995,Comedy,Good,Alicia Silverstone,English
רקורד חזק,Empire Records,,1995,Comedy,OK,Renée Zellweger,English
ברוכים הבאים לבית הבובות,Welcome to the Dollhouse,,1995,Comedy,Less,,English
רכבת הכסף,Money Train,,1995,Comedy,OK,Wesley Snipes,English
,Microcosmos,,1996,Documentry,Good,,English
,Breaking the Waves,,1996,Drama,Less,,English
דרך לחופש,Freeway,,1996,Drama,OK,Reese Witherspoon,English
מייקל,Michael,,1996,Drama,OK,John Travolta,English
פנומן,Phenomenon,,1996,Drama,Good,John Travolta,English
פחד ראשוני,Primal Fear,,1996,Drama,Good,Richard Gere,English
סודות ושקרים,Secrets & Lies,,1996,Drama,Less,,English
,Sling Blade,,1996,Drama,Less,Billy Bob Thornton,English
לגעת ביופי,Stealing Beauty,,1996,Drama,Less,Liv Tyler,English
התא,The Chamber,,1996,Drama,Good,Gene Hackman,English
טריינספוטינג,Trainspotting,,1996,Drama,Less,Ewan McGregor,English
ים של חברים,White Squall,,1996,Drama,Good,Jeff Bridges,English
אושר ללא גבול,אושר ללא גבול,,1996,Drama,Less,,Hebrew
רומיאו ויוליה,Romeo + Juliet,,1996,Drama,OK,Leonardo DiCaprio,English
,Rudy,,1996,Drama,OK,,English
,The Fan,,1996,Drama,OK,Robert De Niro,English
טוויסטר,Twister,,1996,Adventure,Good,Helen Hunt,English
לב הדרקון,Dragonheart,,1996,SF,OK,Dennis Quaid,English
הבריחה מלוס אנג'לס,Escape from L.A.,,1996,SF,OK,Kurt Russell,English
היום השלישי,Independence Day,,1996,SF,Very good,Will Smith,English
מסע בין כוכבים: המפגש,Star Trek: First Contact,,1996,SF,Good,Patrick Stewart,English
השד,The Phantom,,1996,SF,OK,Billy Zane,English
עת להרוג,A Time to Kill,,1996,Thriller,Good,Sandra Bullock,English
קוד שבור,Broken Arrow,,1996,Thriller,OK,John Travolta,English
סיטי הול,City Hall,,1996,Thriller,Good,Al Pacino,English
קראש,Crash,,1996,Thriller,Less,Holly Hunter,English
פארגו,Fargo,,1996,Thriller,Good,Steve Buscemi,English
פחד,Fear,,1996,Thriller,OK,Reese Witherspoon,English
ראש מעל המים,Head Above Water,,1996,Thriller,OK,Harvey Keitel,English
פיתוי קטלני 2: לילי,Poison Ivy II,,1996,Thriller,Less,Alyssa Milano,English
כופר,Ransom,,1996,Thriller,Good,Mel Gibson,English
סליפרס,Sleepers,,1996,Thriller,Good,Robert De Niro,English
סטריפטיז,Striptease,,1996,Thriller,Good,Demi Moore,English
,The Cold Light of Day,,1996,Thriller,Less,,English
הכישוף,The Craft,,1996,Thriller,Good,Robin Tunney,English
הרוח והחושך,The Ghost and the Darkness,,1996,Thriller,Good,Michael Douglas,English
אלאדין ומלך הגנבים,Aladdin and the King of Thieves,,1996,Animated,Good,,English
,James and the Giant Peach ,,1996,Animated,Less,,English
הגיבן מנוטר דאם,The Hunchback of Notre Dame,,1996,Animated,Very good,,English
לעוף כל הדרך הביתה,Fly Away Home,,1996,Family,OK,Jeff Daniels,English
מתנה בלתי אפשרית,Jingle All the Way,,1996,Family,OK,Arnold Schwarzenegger,English
,Muppet Treasure Island,,1996,Family,Good,,English
לכודים,Daylight,,1996,Action,OK,Sylvester Stallone,English
אירייזר,Eraser,,1996,Action,Good,Arnold Schwarzenegger,English
מצאת החמה עד צאת הנשמה,From Dusk Till Dawn,,1996,Action,Less,Harvey Keitel,English
הגבר שנשאר אחרון,Last Man Standing,,1996,Action,Less,Bruce Willis,English
הגבר שנשאר אחרון,Last Man Standing,,1996,Action,OK,Bruce Willis,English
משימה בלתי אפשרית,Mission: Impossible,,1996,Action,Good,Tom Cruise,English
נשיקה ארוכה ללילה,The Long Kiss Goodnight,,1996,Action,Very good,Geena Davis,English
הפריצה לאלקטרז,The Rock,,1996,Action,Very good,Nicolas Cage,English
פשיעות קטנות,Bottle Rocke,,1996,Comedy,Less,Owen Wilson,English
התזמורת,Brassed Off,,1996,Comedy,Good,Ewan McGregor,English
נודניק בלי הפסקה,Don't Be a Menace,,1996,Comedy,OK,,English
צוללת דיזל,Down Periscope,,1996,Comedy,OK,Rob Schneider,English
כולם אומרים אני אוהב אותך,Everyone Says I Love You,,1996,Comedy,OK,Drew Barrymore,English
גילמור המאושר,Happy Gilmore,,1996,Comedy,Good,Adam Sandler,English
אורחים מהכוכב הירוק,La belle Verte,,1996,Comedy,Less,,French
הפלישה ממאדים,Mars Attacks!,,1996,Comedy,OK,Sarah Jessica Parker,English
המרגל מת מצחוק,Spy Hard,,1996,Comedy,OK,Leslie Nielsen,English
סקס או אהבה,Swingers,,1996,Comedy,Less,Vince Vaughn,English
כייבל גאי,The Cable Guy,,1996,Comedy,Good,Jim Carrey,English
הפרופסור המטורף,The Nutty Professor,,1996,Comedy,OK,Eddie Murphy,English
,Beautiful Girls,,1996,Comedy,OK,Matt Dillon,English
ג'רי מגווייר,Jerry Maguire,,1996,Comedy,Very good,Tom Cruise,English
האחת והיחידה,She's the One,,1996,Comedy,Less,Jennifer Aniston,English
כלוב הציפורים,The Birdcage,,1996,Comedy,Very good,Robin Williams,English
תיכון בראש טוב,High School High,,1996,Comedy,Bad,Tia Carrere,English
חסין אש,Bulletproof,,1996,Comedy,Good,Adam Sandler,English
נקמה שחורה,Set It Off,,1996,Comedy,Less,Queen Latifah,English
רגעים חותכים,Cutting Moments,,1997,Horror,Pass,,English
,12 Angry Men,,1997,Drama,Less,Jack Lemmon,English
לילות בוגי,Boogie Nights,,1997,Drama,Less,Julianne Moore,English
וויל האנטינג,Good Will Hunting,,1997,Drama,Very good,Matt Damon,English
עוד תשעה וחצי שבועות,Love in Paris,Another 9½ Weeks,1997,Drama,Less,Mickey Rourke,English
טיטאניק,Titanic,,1997,Drama,Good,Leonardo DiCaprio,English
הכי טוב שיש,As Good As It Gets,,1997,Drama,Good,Helen Hunt,English
ללכת עד הסוף,The Full Monty,,1997,Drama,Good,,English
לכשכש בכלב,Wag the Dog,,1997,Drama,Good,Dustin Hoffman,English
אנה קרנינה,Anna Karenina,,1997,Drama,OK,Sophie Marceau,English
,Bella Mafia,,1997,Drama,Less,Nastassja Kinski,English
כבודו של גנגסטר,Hoodlum,,1997,Drama,OK,Laurence Fishburne,English
החיים יפים,La Vita è Bella,Life Is Beautiful,1997,Drama,Good,Roberto Benigni,Italian
שבע שנים בטיבט,Seven Years in Tibet,,1997,Drama,OK,Brad Pitt,English
,The Last Don,,1997,Drama,Less,Danny Aiello,English
פסגת דנטה,Dante's Peak,,1997,Adventure,OK,Pierce Brosnan,English
פוסטמן,The Postman,,1997,Adventure,Good,Kevin Costner,English
מר באום,מר באום,The 92 Minutes of Mr  Baum,1997,Israeli,Less,Assi Dayan,Hebrew
הנוסע השמיני 4 התחיה,Alien: Resurrection,Alien 4,1997,SF,OK,Sigourney Weaver,English
באטמן ורובין,Batman & Robin,,1997,SF,OK,Alicia Silverstone,English
קונטקט,Contact,,1997,SF,Good,Jodie Foster,English
,Cube,,1997,SF,Less,,English
סיוט בקצה האופק,Event Horizon,,1997,SF,OK,Laurence Fishburne,English
מה קרה בגטקה?,Gattaca,,1997,SF,Very good,Ethan Hawke,English
גברים בשחור,Men in Black,MIB,1997,SF,Good,Will Smith,English
מימיק,Mimic,,1997,SF,Less,Mira Sorvino,English
גברים בחלל,Starship Troopers,,1997,SF,Good,Denise Richards,English
האלמנט החמישי,The Fifth Element,,1997,SF,Very good,Bruce Willis,English
פארק היורה - העולם האבוד,The Lost World: Jurassic Park,Jurassic Park 2,1997,SF,Very good,Jeff Goldblum,English
כוח להשחית,Absolute Power,,1997,Thriller,Very good,Clint Eastwood,English
עצירת פתע,Breakdown,,1997,Thriller,Less,Kurt Russell,English
תאורית הקשר,Conspiracy Theory,,1997,Thriller,OK,Julia Roberts,English
קופלנד,Cop Land,,1997,Thriller,OK,Harvey Keitel,English
דוני בראסקו,Donnie Brasco,,1997,Thriller,Good,Al Pacino,English
חתום בנשיקה,Kiss the Girls,,1997,Thriller,Good,Morgan Freeman,English
סודות אל איי,L.A. Confidential,,1997,Thriller,Good,Kevin Spacey,English
חצות בגן הטוב והרע,Midnight in the Garden of Good and Evil,,1997,Thriller,Good,John Cusack,English
פיתוי קטלני 3,Poison Ivy: The New Seduction,Poison Ivy 3,1997,Thriller,Less,Jaime Pressly,English
המשימה: קרלוס,The Assignment ,,1997,Thriller,Less,Donald Sutherland,English
מלכודת לפרקליט,The Devil's Advocate,,1997,Thriller,OK,Keanu Reeves,English
יריב אינטימי,The Devil's Own,,1997,Thriller,Good,Harrison Ford,English
על הסף,The Edge,,1997,Thriller,OK,Alec Baldwin,English
המשחק,The Game,,1997,Thriller,OK,Michael Douglas,English
התן,The Jackal,,1997,Thriller,Good,Bruce Willis,English
פיסמייקר,The Peacemaker,,1997,Thriller,OK,George Clooney,English
מוריד הגשם,The Rainmaker,,1997,Thriller,Good,Matt Damon,English
סיבוב פרסה,U Turn,,1997,Thriller,Less,Sean Penn,English
וולקנו,Volcano,,1997,Thriller,OK,Tommy Lee Jones,English
זאב אמריקני בפריז,An American Werewolf in Paris,,1997,Thriller,OK,Tom Everett Scott,English
כביש אבוד,Lost Highway,,1997,Thriller,Less,Patricia Arquette,English
הרקולס,Hercules,,1997,Animated,Very good,,English
הנסיכה מונונוקי,Mononoke-Hime,Princess Mononoke,1997,Animated,Good,,Asian
הפרופסור המפוזר,Flubber,,1997,Family,OK,Robin Williams,English
שכחו אותי בבית 3,Home Alone 3,,1997,Family,Less,,English
,Air Force One,,1997,Action,OK,Harrison Ford,English
קון אייר,Con Air,,1997,Action,Very good,Nicolas Cage,English
עימות חזיתי,Face/Off,,1997,Action,OK,John Travolta,English
ג'קי בראון,Jackie Brown,,1997,Action,Less,Samuel L. Jackson,English
צלף על הכוונת,Most Wanted,,1997,Action,Good,Jon Voight,English
ספון,Spawn,,1997,Action,Bad,Martin Sheen,English
ספיד 2,Speed 2: Cruise Control,,1997,Action,OK,Sandra Bullock,English
המלאך,The Saint,,1997,Action,Less,Val Kilmer,English
007 - מחר לנצח,Tomorrow Never Dies,,1997,Action,Good,Pierce Brosnan,English
אוסטין פאוארס: מרגל עם סגנון,Austin Powers: International Man of Mystery,,1997,Comedy,Good,Mike Myers,English
מיסטר בין,Bean,Mr  Bean - The Movie,1997,Comedy,OK,Rowan Atkinson,English
סקס לקינוח,Booty Call,,1997,Comedy,OK,Jamie Foxx,English
הג'ונגל מת מצחוק,George of the Jungle,,1997,Comedy,OK,,English
כסף מדבר,Money Talks,,1997,Comedy,OK,Chris Tucker,English
אורגזמו,Orgazmo,,1997,Comedy,Less,,English
לרדוף אחרי איימי,Chasing Amy,,1997,Comedy,Less,Ben Affleck,English
לפרק את הארי,Deconstructing Harry,,1997,Comedy,OK,Woody Allen,English
החתונה של החבר שלי,My Best Friend's Wedding,,1997,Comedy,OK,Julia Roberts,English
תמונה מושלמת,Picture Perfect,,1997,Comedy,OK,Jennifer Aniston,English
הקבר של רוזאנה,Roseanna's Grave,For the Love of Roseanna,1997,Comedy,OK,Jean Reno,English
ניסוי וטעייה,Trial and Error,,1997,Comedy,OK,Charlize Theron,English
רומי ומישל - פגישת מחזור,Romy and Michele's High School Reunion,,1997,Comedy,OK,Lisa Kudrow,English
חופשה בלאס וגאס,Vegas Vacation,National Lampoon's Vacation 4,1997,Comedy,Less,Chevy Chase,English
,Nothing to Lose,,1997,Comedy,OK,Martin Lawrence,English
אשת חיל מי ימצא,A Price Above Rubies,,1998,Drama,Good,Renée Zellweger,English
אמריקה X,American History X,,1998,Drama,OK,Edward Norton,English
,Edge of Seventeen,,1998,Drama,Bad,,English
מעקבים,Following,,1998,Drama,Bad,,English
פאקינג אמאל,Fucking Åmål,,1998,Drama,Less,,English
תקוות גדולות,Great Expectations,,1998,Drama,Less,Gwyneth Paltrow,English
מרקש אקספרס,Hideous Kinky,,1998,Drama,OK,Kate Winslet,English
משב של תקווה,Hope Floats,,1998,Drama,Less,Sandra Bullock,English
אגדת הפסנתרן,La Leggenda del Pianista Sull'oceano,The Legend Of 1900,1998,Drama,Less,,English
עלובי החיים,Les Misérables,,1998,Drama,Less,Claire Danes,English
הנאהבים מחוג הקרח הצפוני,Los Amantes del Círculo Polar,,1998,Drama,Less,,Spanish
ההימור האחרון,Rounders,,1998,Drama,Less,Matt Damon,English
ההימור האחרון,Rounders,,1998,Drama,OK,Matt Damon,English
דלתות מסתובבות,Sliding Doors,,1998,Drama,Good,Gwyneth Paltrow,English
הלוחש לסוסים,The Horse Whisperer,,1998,Drama,Good,Robert Redford,English
,The Legend of the Pianist on the Ocean,The Legend of 1900 ,1998,Drama,OK,Tim Roth,English
ולווט גולדמיין,Velvet Goldmine,,1998,Drama,Less,Ewan McGregor,English
סלבריטי,Celebrity,,1998,Drama,OK,Melanie Griffith,English
האידיוטים,Idioterne,,1998,Drama,Bad,,Mixed
פאטץ' אדאמס,Patch Adams,,1998,Drama,Good,Robin Williams,English
פלזנטוויל,Pleasantville,,1998,Drama,OK,Reese Witherspoon,English
המופע של טרומן,The Truman Show,,1998,Drama,Good,Jim Carrey,English
עכשיו ולתמיד,Ever After: A Cinderella Story ,,1998,Drama,Less,Drew Barrymore,English
מטען נטוש,Left Luggage,,1998,Drama,OK,,English
,Alice Through the Looking Glass,,1998,Adventure,Less,Kate Beckinsale,English
ארמגדון,Armageddon,,1998,Adventure,Very good,Bruce Willis,English
,Merlin,,1998,Adventure,OK,John Gielgud,English
האיש במסכת הברזל,The Man in the Iron Mask,,1998,Adventure,Good,Leonardo DiCaprio,English
עיר אפלה,Dark City,,1998,SF,OK,Jennifer Connelly,English
אבודים בחלל,Lost in Space,,1998,SF,Good,William Hurt,English
פיי,Pi,,1998,SF,OK,,English
,Soldier,,1998,SF,OK,Kurt Russell,English
מין מסוכן 2,Species II,,1998,SF,Less,Natasha Henstridge,English
ספרה,Sphere,,1998,SF,OK,Dustin Hoffman,English
מסע בין כוכבים: המרד,Star Trek: Insurrection,,1998,SF,Good,Patrick Stewart,English
רצח מושלם,A Perfect Murder,,1998,Thriller,Good,Gwyneth Paltrow,English
צעדים נואשים,Desperate Measures,,1998,Thriller,OK,Andy Garcia,English
אויב המדינה,Enemy of the State,,1998,Thriller,Very good,Will Smith,English
פרנטיק,Frantic,,1998,Thriller,Good,Harrison Ford,English
גודזילה,Godzilla,,1998,Thriller,OK,Matthew Broderick,English
"לוק, סטוק ושני קנים מעשנים","Lock, Stock and Two Smoking Barrels",,1998,Thriller,Less,Jason Statham,English
Run לולה Run,Lola Rennt,,1998,Thriller,OK,Franka Potente,German
קוד פרוץ,Mercury Rising,,1998,Thriller,Good,Bruce Willis,English
בחזרה למלזיה,Return to Paradise,,1998,Thriller,OK,Vince Vaughn,English
6 ימים 7 לילות,Six Days Seven Nights,,1998,Thriller,OK,Harrison Ford,English
עיני נחש,Snake Eyes,,1998,Thriller,Good,Nicolas Cage,English
ג'ינג'רברד,The Gingerbread Man,,1998,Thriller,Less,Kenneth Branagh,English
המתווך,The Negotiator,,1998,Thriller,Good,Samuel L. Jackson,English
המצור,The Siege,,1998,Thriller,Good,Bruce Willis,English
משולש פראי,Wild Things,,1998,Thriller,Good,Denise Richards,English
ליל המסכות - 20 שנה אחרי,Halloween H20: 20 Years Later,,1998,Thriller,Less,Jamie Lee Curtis,English
שדים,Phantoms,,1998,Thriller,Less,Ben Affleck,English
להציל את טוראי ריאן,Saving Private Ryan,,1998,War,Very good,Tom Hanks,English
הקו האדום,The Thin Red Line,,1998,War,Good,John Cusack,English
באג לייף,A Bug's Life,,1998,Animated,Very good,,English
עבודת נמלים,Antz,,1998,Animated,Good,,English
מולאן,Mulan,,1998,Animated,Good,,English
בייב בעיר הגדולה,Babe: Pig in the City,,1998,Family,Good,,English
ד''ר דוליטל,Doctor Dolittle,,1998,Family,OK,Eddie Murphy,English
חיילים קטנים,Small Soldiers,,1998,Family,Less,Kirsten Dunst,English
אבא מתארס,The Parent Trap,,1998,Family,Very good,Lindsay Lohan,English
בלייד,Blade,,1998,Action,OK,Wesley Snipes,English
גשם חזק,Hard Rain,,1998,Action,Good,Morgan Freeman,English
נשק קטלני 4,Lethal Weapon 4,,1998,Action,Good,Mel Gibson,English
רומן לא חוקי,Out of Sight,,1998,Action,Less,Jennifer Lopez,English
רונין,Ronin,,1998,Action,OK,Robert De Niro,English
,Samurai Fiction: Episode One,,1998,Action,Less,,Asian
טקסי,Taxi,,1998,Action,Good,,French
טאקילה סנרייז,Tequila Sunrise,,1998,Action,OK,Mel Gibson,English
ביג היט,The Big Hit,,1998,Action,Less,Christina Applegate,English
הפטריוט,The Patriot,,1998,Action,OK,Steven Seagal,English
המצוד,U.S. Marshals,,1998,Action,Good,Tommy Lee Jones,English
לילה ברוקסברי,A Night at the Roxbury,,1998,Comedy,OK,Will Ferrell,English
חתול שחור חתול לבן,"Crna Macka, Beli Macor","Black Cat, White Cat",1998,Comedy,Less,,Italian
,Dirty Work,,1998,Comedy,Less,,English
פחד ותיעוב בלאס וגאס,Fear and Loathing in Las Vegas,,1998,Comedy,Less,Johnny Depp,English
אידיוט מושלם,Le Dîner de Cons,ארוחת האידיוטים,1998,Comedy,OK,,French
פולי,Paulie,,1998,Comedy,OK,,English
ביג לבובסקי,The Big Lebowski,,1998,Comedy,Good,Jeff Bridges,English
הזוג המוזר 2,The Odd Couple II,,1998,Comedy,Good,Walter Matthau,English
נער המים,The Waterboy,,1998,Comedy,Good,Adam Sandler,English
הנמלט מת מצחוק,Wrongfully Accused,,1998,Comedy,OK,Leslie Nielsen,English
באפלו 66,Buffalo '66,,1998,Comedy,Less,Christina Ricci,English
קסם מעשי,Practical Magic,,1998,Comedy,Good,Sandra Bullock,English
שייקספיר מאוהב,Shakespeare in Love,,1998,Comedy,Less,Gwyneth Paltrow,English
זמר החתונות,The Wedding Singer,,1998,Comedy,Good,Adam Sandler,English
משתגעים על מרי,There's Something About Mary,,1998,Comedy,OK,Ben Stiller,English
שעת שיא,Rush Hour,,1998,Comedy,Good,Chris Tucker,English
עד החתונה זה יעבור,Very Bad Things,,1998,Comedy,OK,Cameron Diaz,English
